Personal profile,Review,Number of likes,Store name,Region
Local Guide Â· 153 reviews Â· 65 photos,"SO. Many. Sneakers!! If you have a shoe fetish, stay away because you will not leave empty handed!! They have some really cool shoes in here. If youâre looking for unique, shoes that arenât everywhere, this place is your spot.",2,Flight Club,New York
6 reviews Â· 1 photo,"Flight club your selling the wave runner 700 for 565$ I checked the web site before I came in . I went in the store and ended up paying 700$ ! For them . Your prices are extremely high yet alone the freaking taxes you put the shoes  are â?,More""",4,Flight Club,New York
Local Guide Â· 286 reviews Â· 555 photos,"This place is so cool that it's dangerous to be there.  By that I mean it's too easy to spend $200 without much thought or trouble.  By far the best collection of kicks I've come across.  Men, Women, kids, and younger - straight up awesome.",2,Flight Club,New York
4 reviews,"Do not consign your shoes here. I have been waiting over 2 weeks for my payment from a pair of shoes I consigned with Flight Club. It's pathetic that it takes that long for them to even ship a check to somebody who has consigned shoes with â?,More""",4,Flight Club,New York
4 reviews,"Is there a guy named Kevin Lin who works here? He just went viral on tiktok for kicking his dog in the face several times because the dog wouldnât sitâ?,"","",Like""",,Flight Club,New York
4 reviews Â· 11 photos,"10 emails and 28 days later, after charging me to ship my consigned sneakers back, I HEAR NOTHING FROM THESE PEOPLE
I've consigned a pair of SUPREME AF1 that's priced over $1400. A year after â?,More""",,Flight Club,New York
9 reviews,"This is actually in reference to their online store. Ordered shoes on 8/16 and still haven't received them. It's almost been a month and multiple emails to Flight Club have gone ignored. I have messaged on facebook and Instagram, no replies as well. Poor Customer service. Still waiting to hear back from someone concerning my order!",3,Flight Club,New York
178 reviews Â· 59 photos,Culturally significant. Never seen so many happy young people in a shop. My kid was in heaven.  Great time there.,1,Flight Club,New York
1 review,"Worst customer service, I was so excited to get a birthday present from here and had been saving up for it. I walked in and waited 20 minutes, was ignored when I asked for help and then the guy acted like he was doing me a favor when I bought the shoes. Will buy online next time.",11,Flight Club,New York
3 reviews,Iâve ordered Jordans from this place before and got the shoes and theyâre good. But this place is some bull to me because a lot of the shoes are out of stock on Womenâs 8. And itâs been out for a lot of months and itâs most likely not going restock.,3,Flight Club,New York
2 reviews,"Have a lot of different and rare types of shoes but, the staff is very snobby and you have to be ready to wait atleast half an hour for them to bring you your shoes. I went with my dad who knows nothing about shoes, so he finds a pair he â?,More""",3,Flight Club,New York
3 reviews,"I have been a long time customer at Flight club until now. I have recently ordered the carmine 6s and was told they have been delivered by UPS. I have not received my package and I have been in contact with flight club from 3 different â?,More""",9,Flight Club,New York
Local Guide Â· 10 reviews Â· 6 photos,"I ordered a pair of sneakers for my daughter. I ordered the wrong size and they wont exchange the sneakers.
Ill never order again",1,Flight Club,New York
1 review,"This shop is really good for finding the Air Jordan's (or any sneaker) of you choice, it's definitely the best sneaker shop in NY, I arrived and walked out with new shoes in moments without any hassle. The shop also looks really nice and they play good songs. Although it's usually crowded with people, even 1 minute after it opens.",,Flight Club,New York
30 reviews Â· 3 photos,"Great store with any retro Jordan u can imagine. Have been to this store personally everytime I'm in NYC. Ordered of there website many times and shipping is fast and never had an issue. When u can't get your Jordan's through a raffle or â?,More""",,Flight Club,New York
3 reviews Â· 2 photos,"I tried to order the Jordan 11s but the website was messing up. When I called they told me that there was a glitch in the system and that I had to clear my history to place the order. I did that then tried to order the shoe right after that â?,More""",,Flight Club,New York
Local Guide Â· 38 reviews Â· 16 photos,Come ready to spend ... best and most desirable sneaker collection.,,Flight Club,New York
9 reviews,"I didnât go to the store but rather ordered online and the Jordan 4s I bought for $325 were fake. The paint started cracking and peeling after wearing them one time. When I asked about the quality of the shoes, they said they use outside vendors and donât accept returns. DONT ORDER SHOES ONLINE FROM FLIGHTCLUB!!!!!!!!!!!!",4,Flight Club,New York
4 reviews,"I loved it. The staff is really patient and quick. The selection is wide. The prices are pretty high but the shoes are really unique and stylish. Over all, flight club is a pretty good store.",2,Flight Club,New York
4 reviews,"I can't even go into detail what has been happen between Flight Club and I. I honestly don't have the energy â?all I can say is, DON'T ORDER FROM THEM! Stay far far away from this company.",3,Flight Club,New York
3 reviews Â· 7 photos,Vast collection at great prices,,Flight Club,New York
4 reviews,"I recently ordered some shoes and they were FAKE plus it was damaged, Do Not order online they will send you damage shoes a probably fake!! I pay 300$ btwâ?,"","",Like""",,Flight Club,New York
4 reviews,"Like every street wear store in NY, the women are just so rude. They act like their jobs of scanning tags and sliding cards are just SOO difficult. Love the idea of the store, and it was very clean and spacious. Just had terrible customer service from the women.",,Flight Club,New York
Local Guide Â· 18 reviews Â· 1 photo,"Snobby staff. Evasive and unwilling to help. Saw many people waiting around. Asked for a pair to try, waited 10min it never came, followed up, waited another 5min, then was ignored, then I just left. â?,More""",8,Flight Club,New York
1 review,I have been waiting eight days for a refund from this terrible shop. I first put in the request because my shoes were still processing on the day they were supposed to arrive. Plz save your money and purchase your shoes from another shop that will not scam you,8,Flight Club,New York
Local Guide Â· 16 reviews Â· 1 photo,"This store has the potential to grow into something better. In my opinion the owners forget the reason why the store was created initially. As a customer if Im spending hundreds or thousands of dollars at your establishment you should have â?,More""",3,Flight Club,New York
6 reviews,"ordered a pair of shoes online and the order came INCOMPLETE. They screwed me out of something that should have been in the box NEW!!! and after discussions with the staff they simply ""cant find it"". I am never shopping here again. and now â?,More""",7,Flight Club,New York
Local Guide Â· 131 reviews Â· 103 photos,Heavy profanity through the loud music. Bringing my family in was a mistake,1,Flight Club,New York
2 reviews,"Beyond poor service. I would NEVER order from them again. After placing a $400 order, it took them almost one month to receive the order, following routine phone calls. I wondered whether the shoes had been worn, and the packaging was in awful condition. Not what one would expect after spending such an exorbitant amount.",1,Flight Club,New York
Local Guide Â· 116 reviews Â· 77 photos,The best place in town for sneakers and sport shoes by far. Most of the staff are very kind.,,Flight Club,New York
Local Guide Â· 135 reviews Â· 39 photos,I have to stop in here every time I am in NYC.  I always want to see the shoes in person.  In the glass case you will find shoes you have only seen pictures of online.  I try to find my size in the exclusives I look for all year.,4,Flight Club,New York
4 reviews,I shipped my shoes to be sold and flight club stole them. They were rejected and I got no explanation and Iâve contacted them multiple times and have received no response from anything. They still have my shoes and I got no money. They are thieves and they stole my shoes.,5,Flight Club,New York
Local Guide Â· 191 reviews Â· 394 photos,"Sneakers lovers, rejoice! Flight Club is definitely one of if not the ultimate place for you. Of you're looking for a particular model of a shoe which is in anyway even slightly famous, they'll have it. Long wall stacked with sneakers of â?,More""",,Flight Club,New York
Local Guide Â· 61 reviews Â· 605 photos,"I mean, sort of a known quantity at this point, right? If you want to look at or buy from one of the wider ranges of sneakers in (at least) NY, you should come here. It's not foot locker, so obviously things cost more, but no more than what â?,More""",1,Flight Club,New York
4 reviews,"If you miss out on a release, this is the place to go. Although you will be paying 200+ over retail, you will find any sneaker here. They have really rare and expensive sneakers here for the people looking to spend money on some nice sneakers. Quality over Quantity!",,Flight Club,New York
5 reviews,"horrible, bogus operation. Placed an order onlineâ?called and emailed within 1 minute to cancelâeven waited for 36 minutes on phone to ensure order canceled. They wrote and said sorry couldnât do that and shipped the shoes. Tried to then return shoes and they refused. BUYER BeWARE",6,Flight Club,New York
15 reviews,Horrible customer service. I recently placed an order . They sent me the wrong shoe size and left me in limbo about a return. I have paid $205 for a Nike Shoe . Please do not Order from this company. They do not get back to you . It's terrible.,2,Flight Club,New York
Local Guide Â· 235 reviews Â· 738 photos,"The service is poor, and the staff slow and unfriendly!!! It took 2 hours for my kids to try three pairs of sneakers. And amazingly they have told us that some of the sneakers canât be tried on!! How can one buy shoes without trying them on?!",5,Flight Club,New York
Local Guide Â· 78 reviews Â· 35 photos,"Definitely the go to location for the freshest kicks.  All the hip hop and rap artist love this location and even mention them in their music.  Pretty big store with so many sneakers and colors and patterns and culture of shoes.  The â?,More""",,Flight Club,New York
1 review Â· 2 photos,They have any shoes that you can ever wanted,,Flight Club,New York
2 reviews,"I am not satisfied with the service at all. The whole process takes entirely too long. I ordered shoes for my son on April 26th and I went back to check and the order is still processing. Wanted the shoes for his graduation but, that is going to happen. I cancelled the order due to lack of process and speed.",2,Flight Club,New York
42 reviews Â· 24 photos,Awesome place. My favorite,,Flight Club,New York
Local Guide Â· 200 reviews Â· 312 photos,"How do I speak with your customer service? To a real human being ? When you dial it connects to American Arbitration, unreal",,Flight Club,New York
Local Guide Â· 63 reviews Â· 47 photos,"DO NOT BUY from Flight Club, do not WASTE your time and money! Ordered something from their website, made a mistake on my end, immediately began sending support tickets(2), reached out on Twitter and IG for cancellation as my order status â?,More""",2,Flight Club,New York
2 reviews,"The employees just work there for no reason, if you don't like sneakers why bother with the job. Once you ask a simple question they answer as if they are being bothered, poor customer service skills and all they want to do is communicate amongst their coworkers. And they take forever bringing up your sneakers too!",4,Flight Club,New York
19 reviews,"I bought a pair of Chimera Pippens when they first came out. I tried one on and it was the real deal. However the sneaker that was in the box was a different sneaker there were many differences including the Kith logo that was only on the â?,More""",6,Flight Club,New York
11 reviews,"This place is run terribly. It took 4 different people almost 40 minutes to find a pair of shoes I repeatedly asked for. The first girl had no clue about anything other than her cell phone and I had to remind her twice what I had asked for. â?,More""",2,Flight Club,New York
7 reviews,"Ordered a pair of Jordans. Received a fed tracking number. The shoes arrived in a bout a week. No complaints here. For people complaining about them being over priced, you clearly don't understand their business model. This is a consignment â?,More""",,Flight Club,New York
1 review,"*Declined order due to a severely damaged box
* They have no phone which forced me to go in person to Flight Club to cancel order for shoes price way above Market value (Hence why I did not want a â?,More""",2,Flight Club,New York
1 review,"2nd experience July 2016, i ordered a pair of Concord 11 lows for my younger sister for 300 Ds online. I got the shoes one week later and one of the shoes had a deep engraving on the black patent leather. Like if someone scratched it with a â?,More""",1,Flight Club,New York
21 reviews,"We came 12 mins before the closing time but they closed it ahead of time. We asked to come in but the doorman didn't let us in even when we told him that we came especially to this store. Poor service, no worth coming here",3,Flight Club,New York
Local Guide Â· 148 reviews Â· 743 photos,Crazy selection of rare and discontinued models. Sneakerhead heaven.,,Flight Club,New York
4 reviews,"Flight club sucks. All the items are over priced. When I bought my shoes i expected brand new shoes. The box was torn up. The shoes had many things that were flaws and one of the lace locks were broken. I paid a lot of money for a ""new"" shoe even though it was clearly used. I would recommend going somewhere else for shoes.",11,Flight Club,New York
1 review,"I paid 600 for a pair of FAKE Jordan 11s. I tried on REAL Js but somehow got swapped out before I left the store. The logo is trash and the sole is coming unglued. I wore them twice. I paid cash and trusted this place because I THOUGHT they â?,More""",4,Flight Club,New York
6 reviews,"Yo son even though the prices is mad ugly you are guaranteed an authentic shoe regardless.  I haven't had no kind of issue with shipments cause I can just take the subway to Fcny and be back home in like 45 minutes, so its all good yo.",,Flight Club,New York
Local Guide Â· 62 reviews Â· 9 photos,"Don't order online, took almost two months for shoes to deliver and no one is ever available to answer the phone or emails. Now it says only can use PayPal as its a online scam. At Flight Club also always check your shoes the staff wears â?,More""",3,Flight Club,New York
20 reviews,"Okay... so to start, I wish Iâd read the countless 1 star reviews before I made my purhase.
Whilst they have an incredible selection, their eCommerce practices are shady â?,More""",1,Flight Club,New York
9 reviews,"I always wanted to visit this store. So I decided to fly to NY (since there are only a few stores, which offer the same quantity of limited edition sneakers in europe). â?,More""",5,Flight Club,New York
5 reviews,"I've ordered shoes 3/12/2018 and have yet to receive a tracking number, I've called 2x and was told something different by two different customer care reps.  I think its not a great idea to do business via online order.",1,Flight Club,New York
2 reviews,My shoes were shipped in the wrong size and they donât exchange or return so I canât get my proper size. And no other shoe store will accept trade or sell them in this condition. A waste of money,1,Flight Club,New York
4 reviews,"This is the worst place we ever orderd sneakers from they sent us the wronge  sneakers and wont return them we are going on the 3rd week of disputing with this company on trying to get the correct sneaker we paid 185.00 for .We are now â?,More""",1,Flight Club,New York
1 review,"NO STARS ! the worst place to buy sneakers ever, i ordered online,  payed for 2 day shipping, and a week and a half later i still have not received my order. no tracking number, ive sent emails, called over and over and no response. never again. Beware, your wasting your money and your time.",6,Flight Club,New York
Local Guide Â· 71 reviews Â· 170 photos,"Visit in 2017 , great sneakers but kinda expensive really ..  Nice environment but hard to find at SOHO , remember the entrence was really remote . I personally went to the store like a museum na like a real snks shop haha .
PS : was the crazy time where you found zebras 350 at 1.2 k ð¤·ð»ââï¸ð?â?,"","",Like""",,Flight Club,New York
4 reviews,"incompetent people to deal with. waited 3 weeks for a pair of shoes to deliver and then they told me my order couldn't be fulfilled. Not the first time it's happened, these people are the absolute worst don't understand customer service and half their shoes are overpriced too you can buy them cheaper elsewhere",10,Flight Club,New York
64 reviews,Thanks to everyone with all of your bad rewiews.we will never buy a thing from them.we call them theifs and should go uut of business.,1,Flight Club,New York
12 reviews,Do not mail shoes to Secaucus for consignment.  They will steal the shoes you send.  I recently mailed 2 pairs and they were never listed on my account.  I have emailed support several times.  I received a pre-written response twice and no replies to my follow up emails.,3,Flight Club,New York
Local Guide Â· 206 reviews,"According to my kid the store has an amazing selection which I could confirm from my very presence although I was only there for the sake of my wallet (i.e. my teenagers payment plan).  Store has a simple layout and the guys/gals that work â?,More""",,Flight Club,New York
Local Guide Â· 41 reviews Â· 273 photos,"Omg the best sneaker place! They have every sneaker you could ever want lmao very exclusive place... All celebrities, artist, famous people shop here lol you might bump into one there. They have a large selection of sneaker s you name it â?,More""",,Flight Club,New York
"Local Guide Â· 659 reviews Â· 4,372 photos","If you are looking for a sneakers nobody will have. Or your looking to get the limited releases. This store is for you. But be prepared to spend some money. To be original isn't cheap, so to be different is going to hit your wallet hard.",,Flight Club,New York
4 reviews Â· 2 photos,They need to start using the online prices and stop overcharging people at the store. They think they are slick taking off the pickup option when you go to their website. Tourist trap for sure.,7,Flight Club,New York
Local Guide Â· 12 reviews,"Havenât been to the retail store but the online store is trash! Wouldnt accept my credit card payment and forced me to pay with PayPal and after a week of processing my off white vapormax they emailed me saying they are out of stock and â?,More""",3,Flight Club,New York
Local Guide Â· 119 reviews Â· 378 photos,The best place for shoe lovers.,,Flight Club,New York
6 reviews,"Horrible costumer service. Associates look at you up and down and if they dont like you for whatever reason they give you this really rude attitude. â?,More""",1,Flight Club,New York
Local Guide Â· 167 reviews Â· 81 photos,"I was hunting for a retro pair of Jordan 13s for my son. Either stores here in Georgia were sold out or priced to high.  Since I'm from NYC I decided to try Flight Club based upon a relative's advice; a family member of mine has MANY pairs â?,More""",,Flight Club,New York
5 reviews Â· 2 photos,"DO NOT BUY  FROM THIS PLACE
Order sneakers for $250, never got sneakers and now fighting for money back. Customer service absolutely awful, they totally ignoring my email and my request for refund since item wasn't even shipped",,Flight Club,New York
18 reviews,I purchased a pair of sneakers 4 month ago. $445.00 and I  still wating for my merchandise. Where is it? Where is my money? I email You guys several time already. With a copy of the transactions!,9,Flight Club,New York
3 reviews,"THIS STORE IS A BIG FRAUD!!!! I BOUGHT A PAIR OF YEEZY FOAM RUNNERS FROM FLIGHT CLUB .COM AFTER VISITING THE STORE IN MIAMI TO SEE WHAT SIZE TO BUY!I NEEDED A SIZE 8 SO I ORDERED A SIZE 8 WHEN THE SHOE ARRIVED IT DIDNâT FIT LIKE THE SIZE 8 â?,More""",4,Flight Club,New York
Local Guide Â· 36 reviews Â· 12 photos,An overindulgence of trainers (im British we say trainers). Loved this store. Brought a couple joints.,1,Flight Club,New York
Local Guide Â· 16 reviews,I had this planned as a surprise for a first time trip to Nyâ?only to find out most shoes in store are marked up $100-200 from the website and they will not match the price.,1,Flight Club,New York
Local Guide Â· 87 reviews Â· 133 photos,"Great selection. Super great staff. No pressure shopping. It's always crowded, beat so do some research into what you want. Visit their website and pick a couple of things. Makes for a better shopping experience.",,Flight Club,New York
Local Guide Â· 38 reviews Â· 135 photos,They have shoes. All of them. Literally.,1,Flight Club,New York
11 reviews,"Horrible experience when trying to purchase some socks from this store. Staff was not knowledgeable when it came to understanding the issue I was having with an online coupon. I spent over a week waiting to get help and I was receiving â?,More""",9,Flight Club,New York
"Local Guide Â· 544 reviews Â· 1,015 photos",Good store. If you don't want to search for your Holy Grail Limited Edition shoes online come here. You'll pay for convenience. Staff is cool.,,Flight Club,New York
2 reviews,"my boyfriend tried to buy me a pair of shoes online and not only did shipping take over 2 weeks, the shoes came in THE WRONG SIZE!  the main problem is their sizes are continuously switching out so by the time we actually got the shoes they â?,More""",2,Flight Club,New York
2 reviews,"The worse customer service in the business. You are unable to speak with anyone on the toll free number. They puckup and immediately put you on hold with no intention on returning to the phone. I can understand how some stores are busy but â?,More""",2,Flight Club,New York
Local Guide Â· 60 reviews Â· 28 photos,"Good place for sneakers. They have a huge & cool sortiment (a little bit overpriced). The customer service was horrible. I bought a 450$ shoe, so I wanted to try them on. They only let me try them on, when I would guarantee to buy them.",,Flight Club,New York
Local Guide Â· 68 reviews,"After buying a pair of shoes, and being charged a higher price on my credit card, i decided to cancel as not only are you paying for the shoes but when shipped to canada fedex will call you couple of days later and ask you to pay another â?,More""",,Flight Club,New York
Local Guide Â· 116 reviews Â· 596 photos,"They let you try on shoes here, even though its a consignment shop, and if someone decides not to buy them they'll just put them back, and if they never sell, the seller may receive their shoes back EVEN IF THEY WERE TRIED ON. Goat or stadium goods are better in that way, and even let you send back shoes if there's any problems.",3,Flight Club,New York
2 reviews,"ANSWER YOUR DAMN PHONE!!!!! My goodness, what is the point of posting a phone number and NOT bothering to answer an urgent call?! I sent shoes to the store to sell and have not received a response yet although the package is delivered! You â?,More""",1,Flight Club,New York
Local Guide Â· 159 reviews Â· 699 photos,i call it the devils playground. if you have the bread to spend on kicks you couldn't get retail cause the hype was too strong flight club is the place to visit. it's a great place and soon as you enter wall to wall sneakers. i bought a few pairs myself from the spot and i frequent the site to see whats new in my size.,,Flight Club,New York
4 reviews,"Worst customer service I have ever experienced. They don't answer emails and don't answer the phone. I ordered $1500 worth of sneakers and they still haven't showed up. I can't reach anyone and no one has contacted me. Terrible way to treat â?,More""",8,Flight Club,New York
3 reviews,Friend  went into the store today to buy 3 pairs of Adiddas  Yeezy at $400 a pair.  Was told by the sales person she could not try them on unless she purchased hem.  CRAZY WHEN DID this become the way we buy shoes.   $1200  = NO CUSTOMER SERVICE.,4,Flight Club,New York
Local Guide Â· 8 reviews Â· 26 photos,They have all the shoes you are going to need,,Flight Club,New York
Local Guide Â· 277 reviews Â· 261 photos,"Yes I am a Sneakerhead. Yes, this store offers a large spectrum of (nearly) sold out rarities, which are hard to find. Yes, these kind of sneakers do have their prize for sure. But the attitude how they treat customers here is quite below â?,More""",1,Flight Club,New York
7 reviews Â· 2 photos,Expensive but if you need to get some kicks and don't want to wait for them to be shipped this is a go to spot in NYC for me. Huge selection of hard to find sneakers. Be prepared though they're always packed,,Flight Club,New York
Local Guide Â· 32 reviews,"You can get any shoes you want here, but you won't necessarily get them at a decent price. Flight Club makes its money by keeping shoe market prices rising, so you're pretty much guaranteed to overpay. That said, you'll find pretty much everything here at the mecca of sneakers.",,Flight Club,New York
22 reviews Â· 1 photo,"I admire Flight Club business but the miscommunication this order was unfortunate. I ordered a pair for a special occasion with hopes of receiving it by April 8. I contacted the customer service reps via email and phone for several days â?,More""",,Flight Club,New York
4 reviews,"We went there to buy a pair of shoes for me. I found those nice adidas vintage stan smith shoes the price written was 69$ I asked to have my right size after receiving the shoes I asked again the price of it to the girl that helped me and â?,More""",,Flight Club,New York
2 reviews,"I went to the actual store and was amazed! The selection was huge and overwhelming! But then I looked at the prices... I know as a Sneakerhead that shows can be expensive, but all of these USED sneakers were WAY ABOVE RETAIL PRICE!!!! Then â?,More""",,Flight Club,New York
4 reviews Â· 1 photo,"'If you want to have a pair of Unique sneakers, you MUST go to Flight Club'.. is what all my friends told me before my big trip to NY. And since i'm a sneakeraddict (especially Nike's) i had to go to this shop. So i did. â?,More""",5,Flight Club,New York
Local Guide Â· 49 reviews Â· 68 photos,"Hands down the worst website to shop on. Been having issues ordering shoes on their website (because of Covid and not being able to physically shop there) and all customer service does is send you in circles. Sad when all I want to do is â?,More""",10,Flight Club,New York
2 reviews,"I ordered a new pair of sneakers not used it said in stock now they took my money and Where is my sneakers idkð¤·ââï¸?Ive been ordered them from the 18th of last month april 2021 today is the second of may they said 8/9 day o will receive my â?,More""",1,Flight Club,New York
Local Guide Â· 21 reviews Â· 5 photos,You have to go to see the sneakers but I donât think anyone should buy there. Rather buy online,,Flight Club,New York
3 reviews,"My boyfriend bought sneakers to wear for my bday and he wore them twice and the whole bottom of the sneaker is coming off as if it was a display sneaker or something.i donât l ow but it makes no sense on the second time wearing them his â?,More""",1,Flight Club,New York
Local Guide Â· 117 reviews Â· 28 photos,"Sneakers!   Are you looking for the rare sneaker in your size, this is the place to come.  They have everything. â?,More""",,Flight Club,New York
17 reviews Â· 1 photo,I ordered shoes online to be shipped to my home address. The website says they were sent to the store. I have no way to reach them and will be getting my money back.,1,Flight Club,New York
Local Guide Â· 80 reviews Â· 39 photos,Visited for the first time with my little bro a few days ago he was looking for a pair of AJ 1s to add in his collection the employee walked up and said I hope yall are not wasting my time...I guess he thinks all customers are the same we walked out without purchasing bad  experience,3,Flight Club,New York
5 reviews,Orderded sneakers Dec 15th. Just got a message saying being shipped from China. Cannot talk to anyone as there is no phone number . Will be contacting the BBB,,Flight Club,New York
338 reviews,"Depending on what you need, pricing is typically what you'd expect. A wonderful selection. You should find what you're looking for and be happy with the choice. A great store for all sneakerheads!",,Flight Club,New York
Local Guide Â· 52 reviews Â· 35 photos,They have everything! The shoes here range from not so limited to less than 15 pairs in the world! Amazing sneaker store. Only thing i would say is that all the shoes are pricey here.,,Flight Club,New York
3 reviews,"HORRENDOUS STAFF !

Been to the old flight club plenty of times and have spent tens of thousands â?,More""",1,Flight Club,New York
"Local Guide Â· 424 reviews Â· 2,094 photos","Huge shop, stacked floor to ceiling with a massive selection of trainers (sneakers). The staff are helpful and knowledgeable and the store is impeccably clean. However before buying your shoes here check if other stores have the same shoe, as prices are VERY expensive. I found the same Jordans in footlocker for $50 cheaper.",,Flight Club,New York
2 reviews,If Kevin Lin works here please fire him he is an animal abuser and needs to be stopped!!!!!! Look up on tik tok and report him asap,6,Flight Club,New York
Local Guide Â· 117 reviews Â· 69 photos,Best sneaker selection I've seen in any place ever. Enjoy myself every time I go there. The staff is friendly and extremly helpful! You should def. go if you are a sneakerhead.,,Flight Club,New York
2 reviews Â· 2 photos,They do take their time...but got my shoes today and A1!! You do pay a premium price past retail... I look at it as your paying for pice of mind... I ordered from a site called getsupplied and got hustled for fakes! Flight club will be my first choice for now on! Thanks flight club!,1,Flight Club,New York
"Local Guide Â· 582 reviews Â· 1,649 photos",If you love sneakers as much as I do you would love this place. They have any shoe you can think of. Prices are really high. So bring your bank account with you. They have a lot of limited edition shoes from Jordans to yeezys. Overall good place to check out.,,Flight Club,New York
20 reviews Â· 13 photos,"Purchased shoes online for in-store pickup. I purchased the shoes on a Friday and went to pick them up on Sunday (06/24/2019). I was told when I went into the store that I needed an email that says the shoes are ready for pickup. No where â?,More""",4,Flight Club,New York
27 reviews Â· 13 photos,"Beware!! I have purchased 18 pairs of sneakers from Flight Club. The last 2 pairs of sneakers are not Authentic, they are super fake. Smh!!",2,Flight Club,New York
3 reviews,"Interesting place! As the 'Money' I sat on the 'Parent Bench' at the back of the store. New trainers and others from decades ago and some serious prices. My son came out with a vintage pair of Jordan high-tops, destined to hit the streets â?,More""",,Flight Club,New York
2 reviews,Terrible customer service because I asked to try on a pair of shoes that I was possibly going to buy but wanted to make sure that I liked the fit and how they looked but the lady working just gave me a dirty look and said that they arenât for trying on for fun. Cool shoe store but awful customer service.,2,Flight Club,New York
Local Guide Â· 19 reviews Â· 4 photos,"It's overpriced, but that's to be expected.  The line to get in was very long and slow moving, staff could've been friendlier and more attentive, but you come for the shoes so none of that really matters",,Flight Club,New York
4 reviews,"Great experience, after leaving stadium goods with their snobbish employees, got my pairs here. Shoutout to Shailene/Chayenne? at the counter who really knows how to treat and advise customers. Keep up the good service.",,Flight Club,New York
2 reviews,"Stick to the website. Guy at the front is a jerk that likes to nitpick people about small details, wait time was more than half of the time I was there, overall poor experience. Two good things though; floor staff were nice, and biggest shoe selection there is in the US.",2,Flight Club,New York
Local Guide Â· 187 reviews Â· 645 photos,"First I must say this is the place for sneaker junkies and hypebeast. There is literally everything u can ask for in a sneaker store. Rear and collectable here are treated with a level of respect. Staff is always helping customers get what â?,More""",,Flight Club,New York
1 review,at first when i was reading reviews i was skeptical on orering some shoes from flight club but when i did i was happy. i got my order in one week one thing that i didnt like was i didnt get a tracking number or even knew when my order shipped so was bad but the actual shoe is in pristine condition,,Flight Club,New York
Local Guide Â· 248 reviews Â· 314 photos,If you love shoes this is a must. The prices are in line with the rarity of the shoes. Cool selection. Take a tour and enjoy the view.,2,Flight Club,New York
10 reviews Â· 11 photos,Gotta sell my sneakers somewhere. They have got a lot friendly over the last two years. They used to be cold as hell - but service is getting better. Itâs the resellers making them money so they should treat us very well,,Flight Club,New York
Local Guide Â· 90 reviews Â· 220 photos,It's a great place. Simple but clean display with a area just to try on your sneakers of your desire. I wish I had a walk in closet that look like that store. Dope.,2,Flight Club,New York
Local Guide Â· 250 reviews Â· 91 photos,Cool shoe store selling some of rarest Nikes around. Great to check out if you're a sneaker head. Shoes are going to run from the $200 range into the thousands. It's as much a museum as it is a retail establishment.,,Flight Club,New York
9 reviews,"Terrible terrible company. Customer service is non-existant. Very quick to take your money, and very slow to give you what you deserve. â?,More""",5,Flight Club,New York
Local Guide Â· 17 reviews Â· 23 photos,"If you're looking for a rare or hard to find sneaker, Flight Club has it. If they don't have it in store(They most likely do) then they might have it online and they can ship it to your house. This is the place to go shoe shopping; this isn't your average sneaker store, it's Flight Club.",1,Flight Club,New York
2 reviews,Ordered a pair of jordan's and when my ordered came in only a box was received. I tried calling and was only told to leave a message so apparently I can only message someone and doing that all they do is give you the run around and until this day I haven't been able to figure out what they will do.,1,Flight Club,New York
2 reviews,I order form flight club website and it's been atleast 4  or 5 weeks I haven't received an update on when I'm getting my shoes,1,Flight Club,New York
4 reviews,"Great selection of shoes... however when you spend that much $$ on shoes you think the staff would be more helpful and have better attitudes.  The male employees were super nice, but the female employees were rude and unfriendly.",4,Flight Club,New York
3 reviews,"Love the place. They have a basketball court on the last floor. Girls kept coming in and taking shots. Even saw one random guy come take a few shots. I bought some shoes. Went to take a shot and a guy that works there jumped right in front â?,More""",1,Flight Club,New York
12 reviews,"Flight club never sent my order!! They never notified me that the reason they never sent it was b/c the box was damaged. I even paid an extra 50.00 for them to expediate my order. Still no order, no money back. Im out 450.00. Dont order from these scammers!!!!!!!!!!!!!!!!!!!!",8,Flight Club,New York
6 reviews,"DO NOT BUY OR SELL ONLINE. MY SHOES WERE RECIEVED VERIFIED AND LISTED, THEN SOLD. I THEN GOT AN EMAIL SAYING MY SHOES WERE NOT REAL WHICH IS BS AND FLIGHTCLUB TRIED TO RAISE THE PRICE OF MY SHOES FROM $1400 TO $1800 WITHOUT MY PERMISSION. â?,More""",3,Flight Club,New York
Local Guide Â· 113 reviews Â· 4 photos,"Prices are through the roof, not for everyone. People spend the big bucks here to ensure they're getting authentic products. Fantastic displays in the store.",,Flight Club,New York
Local Guide Â· 34 reviews,"WOW
the heaven if you like jordan's and other nike shoes... has to be seen",,Flight Club,New York
8 reviews,"Absolutely the WORST customer service experience I have ever encountered. It look 12 days to reach someone regarding shoes that I received that were an entire size too large (despite the fact that the size ordered, is the size I wear in â?,More""",5,Flight Club,New York
Local Guide Â· 49 reviews Â· 162 photos,Walls of shoes at outrageous prices.  Exclusive finds and sales are also there if you look,,Flight Club,New York
9 reviews,"Yes the Snapbacks are fresh and the kick wall is neat but it is not worth selling anything to these pathetic ignorant funtcases who ""manage the prices"". â?,More""",,Flight Club,New York
3 reviews,Worst customer service experience I have ever experienced - prices are ridiculously expensive. Don't waste your time at this store. Very rude employees and over priced shoes!!,8,Flight Club,New York
